epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
38,2020-09-16,104,GO,Adelândia,5200159,city,64,2543.72019,-1,0,0,0.0,2516,True,False
38,2020-09-16,105,GO,Água Fria de Goiás,5200175,city,65,1133.39146,0,0,0,0.0,5735,True,False
38,2020-09-16,58,GO,Água Limpa,5200209,city,0,,0,0,0,0.0,1850,True,False
38,2020-09-16,173,GO,Águas Lindas de Goiás,5200258,city,3013,1418.28281,8,111,1,0.0368,212440,True,False
38,2020-09-16,133,GO,Alexânia,5200308,city,929,3359.49083,14,12,0,0.0129,27653,True,False
38,2020-09-16,159,GO,Aloândia,5200506,city,72,3609.02256,13,3,0,0.0417,1995,True,False
38,2020-09-16,80,GO,Alto Horizonte,5200555,city,146,2276.27066,2,1,0,0.0068,6414,True,False
38,2020-09-16,132,GO,Alto Paraíso de Goiás,5200605,city,145,1901.88877,-2,0,0,0.0,7624,True,False
38,2020-09-16,92,GO,Alvorada do Norte,5200803,city,177,2043.87991,6,1,0,0.0056,8660,True,False
38,2020-09-16,118,GO,Amaralina,5200829,city,5,131.16474,0,0,0,0.0,3812,True,False
38,2020-09-16,91,GO,Americano do Brasil,5200852,city,134,2192.76714,0,3,0,0.0224,6111,True,False
38,2020-09-16,118,GO,Amorinópolis,5200902,city,38,1215.611,1,0,0,0.0,3126,True,False
38,2020-09-16,185,GO,Anápolis,5201108,city,8091,2091.11374,132,214,2,0.0264,386923,True,False
38,2020-09-16,161,GO,Anhanguera,5201207,city,12,1044.38642,0,2,0,0.1667,1149,True,False
38,2020-09-16,133,GO,Anicuns,5201306,city,611,2796.33867,6,8,0,0.0131,21850,True,False
38,2020-09-16,183,GO,Aparecida de Goiânia,5201405,city,25902,4479.9275,417,411,3,0.0159,578179,True,False
38,2020-09-16,124,GO,Aparecida do Rio Doce,5201454,city,77,3112.36863,1,2,0,0.026,2474,True,False
38,2020-09-16,126,GO,Aporé,5201504,city,28,666.98428,0,2,0,0.0714,4198,True,False
38,2020-09-16,120,GO,Araçu,5201603,city,59,1675.18455,-1,2,0,0.0339,3522,True,False
38,2020-09-16,129,GO,Aragarças,5201702,city,645,3206.0841,3,15,1,0.0233,20118,True,False
38,2020-09-16,155,GO,Aragoiânia,5201801,city,275,2667.83081,9,3,0,0.0109,10308,True,False
38,2020-09-16,118,GO,Araguapaz,5202155,city,118,1518.66152,-1,4,0,0.0339,7770,True,False
38,2020-09-16,65,GO,Arenópolis,5202353,city,28,1071.9755,0,0,0,0.0,2612,True,False
38,2020-09-16,87,GO,Aruanã,5202502,city,100,1012.65823,0,0,0,0.0,9875,True,False
38,2020-09-16,118,GO,Aurilândia,5202601,city,56,1794.87179,1,0,0,0.0,3120,True,False
38,2020-09-16,144,GO,Avelinópolis,5202809,city,92,3806.37153,0,1,0,0.0109,2417,True,False
38,2020-09-16,71,GO,Baliza,5203104,city,18,350.33087,3,0,0,0.0,5138,True,False
38,2020-09-16,147,GO,Barro Alto,5203203,city,285,2552.16262,17,2,0,0.007,11167,True,False
38,2020-09-16,162,GO,Bela Vista de Goiás,5203302,city,707,2358.63219,8,11,0,0.0156,29975,True,False
38,2020-09-16,127,GO,Bom Jardim de Goiás,5203401,city,131,1481.73284,2,2,0,0.0153,8841,True,False
38,2020-09-16,167,GO,Bom Jesus de Goiás,5203500,city,322,1276.96701,29,13,0,0.0404,25216,True,False
38,2020-09-16,118,GO,Bonfinópolis,5203559,city,197,2029.67237,0,6,0,0.0305,9706,True,False
38,2020-09-16,57,GO,Bonópolis,5203575,city,31,703.74574,4,1,0,0.0323,4405,True,False
38,2020-09-16,116,GO,Brazabrantes,5203609,city,69,1863.35404,1,2,0,0.029,3703,True,False
38,2020-09-16,133,GO,Britânia,5203807,city,130,2249.52414,-4,1,0,0.0077,5779,True,False
38,2020-09-16,94,GO,Buriti Alegre,5203906,city,218,2304.68337,1,6,1,0.0275,9459,True,False
38,2020-09-16,87,GO,Buriti de Goiás,5203939,city,86,3456.59164,6,1,0,0.0116,2488,True,False
38,2020-09-16,93,GO,Buritinópolis,5203962,city,38,1154.31349,0,0,0,0.0,3292,True,False
38,2020-09-16,114,GO,Cabeceiras,5204003,city,61,763.16777,1,3,0,0.0492,7993,True,False
38,2020-09-16,109,GO,Cachoeira Alta,5204102,city,567,4541.81352,2,8,0,0.0141,12484,True,False
38,2020-09-16,72,GO,Cachoeira de Goiás,5204201,city,15,1110.28868,0,0,0,0.0,1351,True,False
38,2020-09-16,115,GO,Cachoeira Dourada,5204250,city,73,904.92128,2,1,0,0.0137,8067,True,False
38,2020-09-16,127,GO,Caçu,5204300,city,405,2529.82697,1,7,0,0.0173,16009,True,False
38,2020-09-16,111,GO,Caiapônia,5204409,city,135,713.79474,4,1,0,0.0074,18913,True,False
38,2020-09-16,169,GO,Caldas Novas,5204508,city,1325,1453.45648,39,31,0,0.0234,91162,True,False
38,2020-09-16,126,GO,Caldazinha,5204557,city,67,1761.30389,0,1,0,0.0149,3804,True,False
38,2020-09-16,169,GO,Campestre de Goiás,5204607,city,133,3663.91185,-1,2,0,0.015,3630,True,False
38,2020-09-16,48,GO,Campinaçu,5204656,city,118,3241.75824,1,0,0,0.0,3640,True,False
38,2020-09-16,146,GO,Campinorte,5204706,city,312,2471.0914,9,7,0,0.0224,12626,True,False
38,2020-09-16,129,GO,Campo Alegre de Goiás,5204805,city,10,131.76967,0,0,0,0.0,7589,True,False
38,2020-09-16,105,GO,Campo Limpo de Goiás,5204854,city,21,269.61099,0,2,0,0.0952,7789,True,False
38,2020-09-16,135,GO,Campos Belos,5204904,city,232,1166.59124,11,4,0,0.0172,19887,True,False
38,2020-09-16,79,GO,Campos Verdes,5204953,city,33,1541.33582,-1,1,0,0.0303,2141,True,False
38,2020-09-16,153,GO,Carmo do Rio Verde,5205000,city,64,634.79468,0,4,0,0.0625,10082,True,False
38,2020-09-16,107,GO,Castelândia,5205059,city,36,1048.03493,1,2,0,0.0556,3435,True,False
38,2020-09-16,179,GO,Catalão,5205109,city,1890,1736.76521,61,59,1,0.0312,108823,True,False
38,2020-09-16,133,GO,Caturaí,5205208,city,109,2149.90138,9,2,0,0.0183,5070,True,False
38,2020-09-16,108,GO,Cavalcante,5205307,city,43,442.88804,5,0,0,0.0,9709,True,False
38,2020-09-16,153,GO,Ceres,5205406,city,762,3433.82452,16,14,0,0.0184,22191,True,False
38,2020-09-16,106,GO,Cezarina,5205455,city,125,1452.47502,4,7,0,0.056,8606,True,False
38,2020-09-16,126,GO,Chapadão do Céu,5205471,city,332,3265.46671,10,3,0,0.009,10167,True,False
38,2020-09-16,169,GO,Cidade Ocidental,5205497,city,2557,3582.43667,45,33,1,0.0129,71376,True,False
38,2020-09-16,114,GO,Cocalzinho de Goiás,5205513,city,453,2238.14229,7,11,0,0.0243,20240,True,False
38,2020-09-16,129,GO,Colinas do Sul,5205521,city,65,1921.93968,0,1,0,0.0154,3382,True,False
38,2020-09-16,133,GO,Córrego do Ouro,5205703,city,53,2277.61066,0,0,0,0.0,2327,True,False
38,2020-09-16,133,GO,Corumbá de Goiás,5205802,city,121,1089.10891,1,3,1,0.0248,11110,True,False
38,2020-09-16,132,GO,Corumbaíba,5205901,city,76,781.65175,4,1,0,0.0132,9723,True,False
38,2020-09-16,133,GO,Cristalina,5206206,city,528,894.96076,0,24,0,0.0455,58997,True,False
38,2020-09-16,80,GO,Cristianópolis,5206305,city,34,1146.32502,0,1,0,0.0294,2966,True,False
38,2020-09-16,104,GO,Crixás,5206404,city,409,2413.12172,2,4,0,0.0098,16949,True,False
38,2020-09-16,112,GO,Cromínia,5206503,city,36,1032.70224,3,0,0,0.0,3486,True,False
38,2020-09-16,107,GO,Cumari,5206602,city,16,560.61668,0,2,0,0.125,2854,True,False
